Japanese,English
ぎょうじ,"event, function"
かえす,"send home, see out"
いやいや,reluctantly
もん,"gate, entrance"
きりすときょう,Christianity
やりかた,way of doing
てがる,"easy, light"
たにん,"another person, stranger"
したまち,old part of town
ていか,"falling, lowering"
ごがく,language study
しょほ,"first steps, beginning"
つよまる,"become strong, gain strength"
つよめる,"strengthen, emphasize"
ついやす,"expend, waste"
かりょく,"heating power, heat"
よわまる,"weaken, abate"
よわめる,"weaken, lower"
じびき,dictionary
ひきうける,undertake
ひきだす,"draw out, lure out"
ねびき,discount
ひきとめる,"detain, keep"
がくしゅう,"study, learning"
てほん,"model, example"
うてん,rainy weather
にゅうし,entrance examination
じゅけん,take an examination
ききとり,"listening comprehension, dictation"
しつ,"quality, nature"
なにか,"something, some"
エイズ,AIDS
きちんと,"properly, neatly"
わだい,topic of conversation
とく,solve
たしょう,"a little, somewhat"
たんご,word
ルール,rule
すらすら,"unhesitantly, confidently"
とける,"solve, resolve"
あかり,light
カンニング,cheating
まんてん,"full marks, perfect score"
てん,"point, issue"
バツ,"cross, x-mark"
しょうにん,"merchant, trader"
ふくすう,plural
たんすう,singular
あとまわし,"deferment, postponement"
てんすう,"points, score"
まわりみち,"roundabout way, detour"
ここ,"individually, one at a time"
ケース,case
しょくぱん,"bread, loaf of bread"
まいすう,number of flat things
トースト,toast
かって,"selfish, self-centered"
まけ,"defeat, loss"
ひきわけ,"draw, drawn game"
ふたん,"burden, charge"
まさか,never in a million years
ひあたり,exposure to the sun
のろい,"slow, sluggish"
ぶんぽう,grammar
ふきそく,irregular
プラス,"plus, advantage"
としつき,"time, years"
すませる,"finish off, get done with"
たいこく,"world power, large country"
そうきん,"money transfer, remittance"
もうける,make a profit
まちどおしい,"just can't wait for, long for"
いちじ,temporarily
きんり,"interest, interest rate"
ほうそく,"law, rule"
りえき,"profit, benefit"
ゆうえき,"beneficial, profitable"
ひんしつ,quality
かおく,"house, building"
すくなくとも,at least
あらかじめ,in advance
けんとう,"estimate, aim"
いれもの,"receptacle, container"
ようてん,"main point, gist"
なれ,"getting used to, habituation"
あたい,"value, worth"
しな,"article, item"
かいけい,"account, finance"
はかる,"compute, measure"
ごうけい,sum total
さ,difference
じさ,time difference
さしあげる,respectfully give
いっさくじつ,the day before yesterday
まぶしい,"dazzling, glaring"
ひざし,"rays of the sun, sunlight"
ものさし,ruler
がくわり,student discount
やくわり,"role, part"
わりあて,"assignment, allotment"
わりあてる,"assign, allot"
わりびき,"discount, reduction"
わりあいに,"relatively, rather"
のこり,"remainder, leftover"
もったいない,"wasteful, a shame"
ししゅつ,"expenditure, disbursement"
しゅうし,earnings and expenses
したく,"arrangement, preparation"
しはらう,pay
しはらい,"payment, payout"
りょうきん,"charge, fee"
めいめい,"each, individual"
はらい,"payment, account"
ふりょう,"bad, defective"
ひきかえす,"turn back, retrace one's steps"
かり,"borrowing, debt"
りし,interest
かしだし,"lending service, checking out"
しんせい,"application, petition"
げつまつ,end of the month
ぎゅうぎゅう,"packed, crammed"
ねんまつ,end of year
もうしこみ,"application, proposal"
わりこむ,cut in
ひとごみ,crowd
ぜんき,"previous term, last semester"
たんき,short-term
きげん,"time limit, term"
げんど,"limit, bounds"
おおいそぎ,in a great hurry
くぎる,"punctuate, divide"
いきもの,living creature
さくもつ,crop
しょくもつ,food
ひとりひとり,each and every person
ぱいなっぷる,pineapple
けん,"voucher, ticket"
かいすうけん,book of tickets
とうじつ,that day
まえうりけん,advance ticket
けい,total
きじつ,"date, due date"
ねあげ,price hike
だいきん,"charge, fee"
さす,"point to, aim at"
こゆび,"little finger, little toe"
めざす,"aim for, have an eye on"
し,Mr.
ていか,fixed price
わりびく,"give a discount, make a reduction"
ていきゅうび,regular holiday
がいしゅつ,outing
うちあわせる,"arrange, discuss"
よさん,budget
よほう,"forecast, prediction"
キャンセル,cancellation
とりけす,"cancel, nullify"
せめて,at least
たば,"bundle, counter for bundles"
はかる,"strive for, attempt"
へんこう,"alteration, change"
よふかし,sitting up late at night
きゅうぞう,sudden increase
ます,"increase, augment"
ぞうだい,"increase, enlargement"
ねんねん,"year by year, annually"
げんしょう,"decrease, reduction"
かいすう,"frequency, number of times"
ぞうげん,"increase and decrease, rise and fall"
りょう,"quantity, volume"
じょうしゃけん,"railway ticket, bus ticket"
のりこむ,"board, march into"
ラッシュ,"rush, rush hour"
かくち,"every place, various parts"
おおあめ,heavy rain
いまにも,at any moment
あめふり,"rainfall, rainy weather"
ていいん,"fixed staff number, capacity"
のりおり,getting on and off
ぜんご,"before and after, order"
ぶじ,"safely, peacefully"
ほっと,feel relieved
ねんしゅう,annual income
アンテナ,antenna
かえって,"on the contrary, rather"
しりつ,private
やくだつ,"be of use, serve a purpose"
ちゅうりつ,neutrality
たちどまる,"stop, halt"
ろうそく,candle
ストップ,stop
してい,"designation, appointment"
きゃくせき,"seat, passenger seat"
ちゃくせき,taking a seat
むかい,opposite side
けってん,"weak point, defect"
かける,"be chipped, be missing"
とうき,winter season
とりつぐ,"relay a message, transfer a call"
うんえい,"operation, management"
うんちん,passenger fare
じょうしゃ,"boarding, getting on board"
ボーイ,waiter
よそみ,look around
しゅんかしゅうとう,"four seasons, all year round"
いどう,"movement, shift"
せいねん,"youth, young man"
かいかい,"opening, start a meeting"
うんどうじょう,"playground, sports field"
うんどうじょう,"playground, sports field"
どうこう,"trend, tendency"
ちゅうし,"suspension, stopping"
どうりょく,power
ほんのう,instinct
りせい,"reason, reasoning power"
まねる,"imitate, mimic"
ぎょうかい,"industry, business world"
あがる,be completed
おぼえ,"recollection, memory"
はやまる,"make a hasty decision, jump the gun"
つきひ,"time, days"
できるだけ,as much as possible
こうそく,high speed
かさなる,"be piled up, come one after another"
そくたつびん,"special delivery, express mail"
ざんぎょう,overtime
ぐずぐず,"drag one's feet, waste time"
しょうぶ,match
がっき,school term
あきち,"unoccupied ground, vacant lot"
ぎりぎり,"just in time, barely"
おおどおり,main street
あけがた,"dawn, near daybreak"
せいり,"period, menstruation"
しんがっき,"new term, new semester"
ぶんめい,"civilization, culture"
さいしゅう,"last, final"
しゅうてん,"last stop, terminus"
しじゅう,"from beginning to end, at all times"
しゅうでん,last train
かい,"meeting, association"
なるべく,"as...as possible, if possible"
やくめ,"duty, role"
げんち,"actual site, in the field"
げんば,"actual spot, job site"
げんじゅうしょ,present address
とにかく,"in any case, anyway"
じっしゅう,"practice, training"
うけとめる,"catch, receive"
せい,life
のんびり,take it easy
データ,data
いよいよ,"finally, any moment"
さきに,"before, ahead"
しはつ,first departure
おくらす,"delay, put off"
はつばい,"sale, selling"
てつどう,railway
はつでんしょ,"power plant, generating station"
じゅうだい,"important, serious"
いいあらわす,"express, say"
けん,prefecture
くださる,"give, favor with"
ようし,"blank form, stationery"
ひょうし,"cover, binding"
はくし,"blank sheet, clean slate"
あたいする,"be worth, deserve"
えほん,picture book
ねうち,"value, worth"
はっこう,"publication, issue"
スピーカー,speaker
おんよみ,Chinese-derived kanji reading
はつおん,pronunciation
ものおと,"noise, sound"
やかましい,"noisy, clamorous"
ヨット,"sailboat, yacht"
よほど,"very, by far"
むせいげん,"unlimited, free"
つきみ,moon viewing
わくわく,feel excited
ごくんと,in one gulp
やっきょく,"drugstore, pharmacy"
カラオケ,karaoke
おもいきり,"to one's heart's content, with all one's might"
しょくよく,appetite
よく,"desire, greed"
くかく,"division, section"
ウィークエンド,weekend
とうしょ,"original, initial"
だいたい,"outline, generally"
がめん,screen
うつる,"be reflected, appear"
ひょうめん,"surface, appearance"
ばめん,"scene, situation"
できごと,"occurrence, incident"
めんする,face
はんめん,"profile, one side"
わりに,"comparatively, rather"
ばかばかしい,"stupid, absurd"
にちじ,"date, time"
しゅつりょく,output
しんじつ,"truth, reality"
まなつ,midsummer
まっさいちゅう,midst
むしょく,"colorless, neutral"
ちょうほうけい,rectangle
ちけい,"geographical features, topography"
こがた,small-sized
かた,"type, mold"
じんしゅ,race
たね,seed
じんるい,"mankind, humankind"
さっそく,immediately
しやくしょ,"municipal office, city hall"
しょるい,"documents, papers"
くやくしょ,ward office
ぶんるい,classification
ゆうそう,mailing
ていしょく,"day's special, set menu"
とじる,"bind, file"
ともかく,"at least, at any rate"
やりなおし,"doing over, redoing"
やりなおす,do over again
ちょくつう,direct link
せっきん,"approach, proximity"
せっする,"come in contact, adjoin"
めんせつ,interview
むせん,"radio, wireless"
かくど,angle
なんとう,southeast
まちかど,street corner
テンポ,"tempo, pace"
ちょっかく,right angle
だい,"title, topic"
ねっする,"heat, become hot"
きょうつうご,"common language, lingua franca"
ともに,"together, both"
よあけ,"dawn, daybreak"
きょうどう,"joint, commonality"
ごうどう,"combination, joint"
どういつ,"sameness, identity"
どうじょう,"sympathy, compassion"
アクセント,"accent, stress"
これまで,"until now, until here"
それぞれ,"each, respective"
タイプ,type
ひとちがい,mistaken identity
ちがい,"difference, mistake"
ひにち,"date, number of days"
いこう,hereafter
ぜい,"tax, duty"
セールスマン,"sales representative, salesperson"
リットル,"liter, litre"
ガイド,guide
ゴールデンウィーク,golden week
ひよう,expenses
はじめ,"beginning, origin"
りょかく,"traveler, passenger"
のり,laver
おえる,"end, finish"
おおいに,"very, greatly"
きがる,"lighthearted, easy"
すます,"settle, complete"
いきいきと,"lively, vividly"
まざる,"mix, socialize with"
わふう,Japanese style
わしょく,Japanese-style food
やわらぐ,"soften, calm down"
わしき,Japanese style
ようふう,Western style
ようが,foreign film
ようしょく,"Western cooking, European dish"
せいふく,uniform
じょうげ,top and bottom
やや,"little, somewhat"
ぴったり,"exactly right, perfect"
びしょびしょ,soaked
だぶだぶ,"baggy, too big"
しつない,indoors
まちあいしつ,waiting room
ようしつ,Western-style room
すいでん,"paddy field, rice field"
ひび,crack
すむ,"be settled, complete"
じょうねつ,"passion, enthusiasm"
いびき,snoring
だいく,carpenter
りょひ,traveling expenses
よこす,"send, hand over"
あじわう,"taste, appreciate"
かじ,"housework, domestic duties"
たより,"news, correspondence"
でんぽう,telegram
ながばなし,"long conversation, talk for a long time"
みかた,"friend, ally"
しんせつ,kindness
げしゅく,"lodging, boarding house"
キリスト,"Christ, Christianity"
にる,"resemble, be alike"
そっくり,"identical, look alike"
すいぞくかん,aquarium
さいまつ,year end
パパ,"dad, father"
このみ,"taste, preference"
ざいがく,attendance at school
スタンド,"table lamp, desk lamp"
たび,"journey, travel"
しまい,sisters
ふけい,"parents, legal guardians"
くちげんか,quarrel
だいいち,"number one, the best"
しりつ,"municipal, city"
まね,"imitation, mimicry"
きゅうそく,"rest, break"
よみかき,reading and writing
もっか,"now, at present"
ひだりきき,"left-handedness, left-hander"
エネルギー,energy
どうじ,simultaneous
つぎつぎに,"one after another, in succession"
たいりょく,physical strength
ほこうしゃてんごく,vehicle-free promenade
もの,"person, fellow"
かつよう,"utilization, conjugation"
こうどう,"action, conduct"
えいぎょう,"business, sales"
いぜん,"before, ago"
じんぶつ,"character, person"
じんじ,"human affairs, personnel affairs"
かいいん,member
せだい,generation
せいげん,"restriction, limit"
いつも,"always, usually"
いてん,"transfer, change of address"
がくしゃ,scholar
いらい,since
さっか,"writer, novelist"
げんき,"vigor, spirits"
こころみる,"try, attempt"
うまれ,"birth, origin"
クラス,"class, lesson"
いかに,"how, in what way"
ショック,"shock, surprise"
ジャーナリスト,journalist
スタイル,style
こせい,individuality
きょく,"bureau, public service office"
きょういん,"teacher, teaching staff"
うみだす,"generate, produce"
アイデア,idea
いかにも,"indeed, as if"
いっけん,at a glance
しっかり,"mature, reliable"
しんじん,"newcomer, freshman"
きゅうじん,recruiting
しゅっさん,"birth, delivery"
スター,star
アルコール,"alcohol, alcoholic beverage"
がくねん,"school year, grade"
じゃくてん,weak point
こうがく,engineering
しあげる,"finish, complete"
ステージ,stage
アドバイス,advice
しんゆう,close friend
アマチュア,amateur
いかす,"take advantage of, make use of"
きつい,"severe, hard, strict"
うちこむ,devote oneself
こうほう,"back, rear"
えいぶん,"English, English writing"
さっぱり,"completely, not at all"
がんらい,"originally, essentially"
しゅっせ,"success, promotion"
こっそり,"stealthily, secretly"
しゃかいじん,"member of society, working person"
おもいがけない,"unexpected, accidental"
せっせと,"hard, diligently"
きりょく,"energy, vitality"
いちいち,"one by one, in detail"
うん,"fortune, fate"
きく,"work, function"
けんりつ,prefectural
オーバー,exaggerate
しんり,truth
クラシック,"classical music, the classics"
おおげさ,exaggerate
がくぶ,"faculty, department"
いえで,running away from home
いけばな,flower arrangement
かかる,"catch, get"
ジーパン,jeans
かつぐ,"shoulder, carry"
コマーシャル,"commercial, advertising"
さいきょう,strongest
アイドル,"idol, pop singer"
からかう,"make fun of, tease"
かし,"loan, renting"
すえっこ,youngest child
えきちょう,stationmaster
おごる,treat
ショッピング,shopping
スマート,"sophisticated, skillful"
ききて,"listener, audience"
サングラス,sunglasses
きっちり,exactly
いいかえす,"talk back, retort"
いやらしい,"disgusting, nasty"
あぐら,sit cross legged
きっちん,kitchen
けち,"stingy, miser"
おんならしい,"womanly, feminine"
きゅうよう,urgent business
いらいら,be irritated
あいづち,"responsive sounds, chiming in"
あらわれ,"embodiment, manifestation"
うちけし,"negation, denial"
あだな,nickname
いきき,"comings and goings, communication"
いつのまに,when
うえした,above and below
うつむく,face downward
おだてる,flatter
がぶがぶ,(the sound of) guzzling
しゃっきん,"borrowing money, debt"
ただ,"simply, merely"
にゅうりょく,"input, power input"
ははおや,mother
たつ,"start, leave"
ようす,"appearance, aspect"
ゆうじん,friend
ちちおや,father
ふまん,"dissatisfaction, discontent"
チーム,team
ビジネス,business
ちょくぜん,"just before, immediately prior"
ちじ,governor
まるで,"just like, completely"
ねんだい,"age, date"
としん,heart of a city
ねっしん,"enthusiasm, zeal"
ファン,"fan, lover"
たいし,ambassador
ながねん,"many years, long time"
みなおす,"reconsider, change one's opinion for the better"
とかい,"city, town"
なかば,"middle, halfway"
ばいしゅう,"buying up, bribing"
プロ,"pro, professional"
にゅうしゃ,entering a company
とりいれる,"take in, adopt"
はずす,remove
たちあがる,"stand up, take action"
ちゅうせい,Middle Ages
みごと,"splendid, admirable"
なかなか,"rather, pretty"
ひごろ,"routinely, daily"
パイロット,pilot
でいり,coming and going
ベテラン,veteran
ふり,disadvantage
ほんしつ,"essence, reality"
ペース,pace
マラソン,marathon
ほんごく,one's native country
トレーニング,"training, workout"
ほうげん,dialect
とうぶん,"for some time, for the present"
プラン,plan
マイク,"mic, microphone"
ひきとる,"take over, take custody"
ぼんやり,"vaguely, absent-mindedly"
とうよう,Orient
まじる,"be mingled, be mixed"
ためす,"try, test"
ほうがく,direction
ほうがくぶ,law department
ゆったり,comfortable
みだし,"headline, heading"
ユーモア,humor
むくち,"not speaking much, reticence"
タレント,"celebrity, talent"
たまに,"occasionally, by chance"
わふく,"Japanese clothes, kimono"
ないしん,"back of one's mind, one's real intention"
ゆうのう,"able, competent"
たいかく,"physique, build"
わざと,on purpose
とっくに,long ago
ワンピース,dress
つくりあげる,"make up, build up"
たびたび,often
プライド,pride
ひとくち,"mouthful, bite"
まずい,"bad, no good"
たんしょ,"shortcoming, defect"
のみこむ,"swallow, grasp"
はやす,"grow, cultivate"
ぶんがくしゃ,"literary person, literati"
よわき,"timid, weak-spirited"
ぱっと,"suddenly, quickly"
ひつぜん,"inevitable, necessary"
ひょっとしたら,perhaps
みつめる,stare
めうえ,"one's superiors, one's elders"
ねんちょう,seniority
みならう,"learn, follow someone's example"
むのう,"inefficiency, incompetence"
パンツ,"pants, trousers"
まよなか,"midnight, middle of the night"
にあう,"suit, match well"
ようしき,Western style
わかわかしい,"youthful, young-looking"
たんき,short temper
とりかえす,"take back, regain"
なごやか,"peaceful, mild"
にせる,"imitate, forge"
にっこり,"smiling, grinning"
まちあわせる,"wait for, meet by appointment"
なんで,"why, what for"
ねぎる,"bargain, haggle"
もともと,"originally, by nature"
ゆびさす,point to
とっさに,at once
わり,rate
ばいばい,"buying and selling, trade"
まちはずれ,outskirts of a town
ようま,Western-style room
ミュージック,music
ロマンチック,romantic
たんきだいがく,junior college
つきはじめ,at the beginning of the month
どわすれ,"memory lapse, mental block"
にやにや,grin to oneself
ましかく,square
ものおぼえ,memory
そのうち,"before long, sooner or later"
ちじん,"acquaintance, friend"
つぶやく,"mutter, murmur"
つよき,"tough, bullish"
であう,meet
てい,low
なにしろ,"anyhow, as you know"
なま,"raw, fresh"
にらむ,"glare, stare"
のう,"ability, capability"
のんき,"carefree, easy-going"
はねる,"run over, hit"
ばらいろ,rose color
ふもと,foot of the mountain
ほほ,cheek
ほほえむ,smile
まごころ,"sincerity, true heart"
まちなか,"the downtown area, the central area of a town"
まれ,rarely
むごん,"silence, muteness"
めくる,turn over
もうかる,"make a profit, be profitable"
もっとも,the most
ゆくえ,one's whereabouts
よげん,"prediction, forecast"
わるくち,"slander, abuse"
もうじき,soon
やたらに,"frequently, persistently"
けっきょく,"after all, finally"
ゆうじょう,friendship
むすび,"end, close"
こんやく,"engagement, betrothal"
なんと,"what, how"
ちっとも,nothing at all
みこん,unmarried
このたび,on this occasion
いっしゅ,"a kind of, a sort of"
さいこう,"maximum, supreme"
しあい,"match, game"
まんぞく,"satisfaction, contentment"
はたして,"as was expected, really"
もうしあげる,"speak humbly, do"
そうちょう,early morning
きく,be effective
こうりょく,"effect, validity"
むこう,"invalidity, ineffectiveness"
じどう,automatic operation
じこく,one's own country
いきかた,"way of life, lifestyle"
かくじ,"each one, every individual"
たかめる,"raise, enhance"
パンク,puncture
けいゆ,"via, through"
しんよう,"trust, credit"
おまえ,"you, darling"
はったつ,"development, growth"
つうしん,"correspondence, communication"
しんらい,"reliance, confidence"
いらい,"request, commission"
たよる,"rely on, depend on"
たのみ,"request, favor"
たのもしい,"reliable, dependable"
こくみん,"the people, nation"
しゅよう,"main, principal"
おもに,"mainly, mostly"
しゅしょく,staple food
おも,"main, chief"
つかい,errand
やぬし,landlord
しゅぎ,"principle, -ism"
きょうさんしゅぎ,Communism
ぎり,"sense of duty, justice"
みんしゅ,democracy
ぎかい,"assembly, council"
ぎだい,"topic for discussion, agenda"
しょにち,"first day, opening day"
じかい,next time
じゅうやく,executive
ほんしゃ,head office
ふしぎ,"mystery, wonder"
つい,"inadvertently, accidentally"
みょうにち,tomorrow
ながびく,"be prolonged, drag on"
みょうちょう,tomorrow morning
ぎろん,"argument, discussion"
けつろん,conclusion
がっかい,"academic association, academic conference"
しあげ,"completion, finishing"
いんよう,"quotation, citation"
したがき,draft
せろん,public opinion
りろん,theory
まとめ,summary
いはん,"violation, breach"
はんぱつ,"reaction, backlash"
はんろん,"objection, counterargument"
はんする,"oppose, act contrary to"
しょうすう,"small number, minority"
たいわ,"dialogue, conversation"
つい,pair
よろん,public opinion
おうよう,application
いちおう,tentatively
かいとう,"reply, answer"
インタビュー,interview
アンケート,questionnaire
ごまかす,"deceive, evade"
ぎょう,"line, row"
ほんぶん,"text, this text"
とい,"question, inquiry"
まずい,"problematic, troublesome"
とくしょく,characteristic
くべつ,"distinction, classification"
さべつ,discrimination
せいべつ,"sex, gender"
せい,"sex, nature"
べつに,"especially, particularly"
そうべつかい,farewell party
せんもん,"specialty, profession"
ファッション,fashion
がいらいご,"loanword, foreign word"
じつよう,"practical use, utility"
けいざいてき,"economical, economic"
さいのう,"talent, ability"
じしゅてき,"autonomous, voluntary"
ごうりてき,"rational, logical"
けいしきてき,formal
じつようてき,practical
ほんかくてき,"full-scale, authentic"
ぜんめんてき,"all-out, overall"
ろんりてき,logical
ちてき,"intellectual, mental"
もくてきち,"destination, goal"
ぶんかてき,cultural
とおりすぎる,"go past, pass"
だんせいてき,"masculine, manly"
ふだん,"usual, ordinary"
なさる,do
なみ,"ordinary, average"
だんし,"boy, young man"
もたらす,"bring about, lead to"
へいめん,"level surface, plain"
へいこう,"parallel, side by side"
へいや,"plain, open field"
へいじつ,weekday
いか,below
へいきん,"average, equilibrium"
こうとう,"higher, high-grade"
じょうとう,"first-class, premium"
どうとう,equality
たいとう,"equality, parity"
ストレス,stress
とくゆう,"characteristic, special"
びょうしつ,"patient room, ward"
びょうにん,"sick person, patient"
よわる,"weaken, be debilitated"
サイン,"signature, autograph"
イスラムきょう,"Islam, Muslim religion"
とりつ,"metropolitan, Tokyo metropolitan"
いがく,"medical science, medicine"
はえる,"grow, spring up"
かがくしゃ,scientist
かもく,subject
しぜんかがく,natural science
おもい,"thoughts, feelings"
ししゃ,"dead person, the deceased"
せいし,life and death
びょうし,death from sickness
てんごく,paradise
しぼう,death
なくす,lose (in death)
ひとで,"hand, manpower"
たぼう,very busy
しらずしらず,"unawares, without knowing it"
つかれ,"fatigue, exhaustion"
やすめる,"give a rest, set at ease"
めぐすり,eye drops
きんじる,"prohibit, forbid"
たちいりきんし,no trespassing
さかや,liquor store
きんしゅ,abstention from alcohol
つぐ,"pour, pour into"
みやげ,souvenir
よう,get drunk
かいじょう,"venue, meeting place"
とりあげる,"take up, confiscate"
けわしい,"steep, craggy"
たもつ,"preserve, sustain"
まんいち,if by any chance
といあわせる,"inquire, contact"
ほしょう,"guarantee, warranty"
ほしょうにん,guarantor
せいぞん,"existence, survival"
ごぞんじ,know
ほぞん,"preservation, conservation"
ていおん,low temperature
ぞんじる,"think, know"
カタログ,catalogue
そそぐ,"pour into, concentrate"
うけいれる,"accept, accommodate"
いこう,"intention, inclination"
いと,"intention, aim"
いぎ,"meaning, significance"
かっぱつ,"lively, active"
こうい,"favor, affection"
いじわる,"nastiness, ill-natured person"
もっとも,quite right
まとまる,be collected
どうい,"consent, approval"
むいみ,"meaningless, absurd"
とうにん,the person in question
なまいき,"cheeky, conceited"
めん,"surface, aspect"
ぶん,"writings, sentence"
きんがく,"amount of money, sum"
かくてい,"decision, confirmation"
かいとう,"solution, answer"
にんか,"approval, authorization"
みとめる,"recognize, acknowledge"
こうりつ,efficiency
かくりつ,"probability, rate"
けいそつ,"rash, light-headed"
そっちょく,"frank, openhearted"
のうりつ,efficiency
きかい,"opportunity, occasion"
したしむ,"get close to, get familiar with"
じき,"opportunity, chance"
もちこむ,"bring in, carry on"
ようするに,"in a word, in short"
せいぎょ,"control, command"
ないぶ,"interior, inner parts"
ぶんかい,taking apart
がっき,musical instrument
しょっき,"tableware, dinner set"
きよう,"skillful, clever"
じゅわき,receiver
うつわ,"vessel, dish"
きかい,"instrument, apparatus"
しゅざい,"collection of data, gathering of news"
ぐあい,"condition, health"
かぐ,furniture
あまぐ,"rain gear, rainwear"
じょうきゃく,passenger
ろんり,logic
じゅんきゅう,local express
せつりつ,"establishment, foundation"
きぐ,"utensil, implement"
しよう,usage
しゃせつ,editorial
じつぶつ,"real thing, actual object"
がくせつ,theory
てもと,at hand
ひととおり,"briefly, once over"
こうりつ,public
モデル,model
ふこうへい,"unfair, unjust"
やっつける,"beat, let someone have it"
したい,"corpse, body"
えんそく,"excursion, hike"
ゆうえんち,amusement park
ベンチ,bench
ひとで,"turnout, crowd"
うちあげる,shoot up
さいじつ,"national holiday, festival day"
こくさいてき,international
こくさいか,internationalization
こうさい,"association, friendship"
さい,"occasion, time"
ざせき,seat
とびだす,"fly out, dash out"
ヘリコプター,helicopter
とばす,"fly, shoot"
とびあがる,"fly up, jump up"
つばめ,swallow
はえ,fly
ひこう,"flight, aviation"
よける,"avoid, evade"
ぴょんと,jump
こうくう,aviation
こうくうき,"aircraft, airplane"
こうくうけん,airline ticket
ざいもく,"timber, wood"
のりだす,"lean forward, embark on"
せんちょう,captain
すいりょく,"waterpower, hydraulic power"
はんとう,peninsula
とう,island
かんぜん,"perfect, complete"
ふかんぜん,"imperfection, incompleteness"
けっせい,"organization, formation"
さんせい,"approval, agreement"
せいじん,"adult, grownup"
はんえい,reflection
ようする,"require, need"
むろん,"of course, no doubt"
みせいねん,"minor, underage"
かくしん,"firm belief, conviction"
りつ,"ratio, proportion"
ちがいない,"no mistaking it, for certain"
しんりん,"forest, woodland"
しっぱい,"failure, mistake"
せい,"cause, fault"
しょうはい,victory or defeat
じぎょう,"business, achievement"
たちなおる,"recover, regain one's footing"
げんそく,"principle, general rule"
すごす,"pass, let pass"
スライド,slide
げんり,"principle, theory"
げんしりょく,"atomic energy, nuclear power"
しょか,early summer
かえる,"be restored to, return to"
のはら,"field, plain"
はら,"plain, field"
かんせつ,indirect
よういん,"primary factor, main cause"
ふめい,unknown
しょうけん,"bill, bond"
しりょう,"materials, data"
しかく,"qualifications, competence"
しほんしゅぎ,capitalism
ミスプリント,"misprint, error"
かぎり,"limit, as far as possible"
むげん,"infinite, endless"
げんきん,cash
いっしょう,a lifetime
がんしょ,application form
なんとか,"somehow or other, one way or another"
ねがい,"wish, request"
てすう,"trouble, bother"
ひとこと,single word
せつ,"theory, opinion"
こうしゃ,the latter
しょうめん,"front, face"
しょうご,"noon, noontime"
せいぎ,"justice, righteousness"
せいもん,"main gate, main entrance"
せいかい,"right answer, correct solution"
せいほうけい,square
せいざ,sitting upright with legs folded under one
せいとう,"just, legal"
ふせい,"fraud, impropriety"
どうせい,of the same sex
いじょう,"extraordinary, exceptional"
にちじょう,"daily, everyday"
いしき,"consciousness, awareness"
じょうしき,"common sense, common knowledge"
いせい,opposite sex
ひとしい,"equal, same"
ひじょうしき,lack of common sense
ひじょうぐち,emergency exit
もてる,be popular with the opposite sex
エンジン,engine
こうちょう,favorable condition
したしらべ,"preliminary investigation, preparation"
ネットワーク,network
どうも,"for some reason, somehow"
ちょうし,"tone, condition"
ふあんてい,instability
たいちょう,health condition
たんちょう,"monotonous, dull"
メーター,"meter, taximeter"
せいび,"maintenance, servicing"
せいり,"disposition, arrangement"
ちょうせい,"regulation, adjustment"
ととのう,"be in order, be adjusted"
けいひ,expense
せつやく,"economizing, saving"
こうらく,"excursion, outing"
ちょうせつ,"adjustment, regulation"
た,"rice field, rice paddy"
けんさ,"inspection, examination"
ふあん,"uneasiness, anxiety"
だいべん,"stool, feces"
ていしゅつ,submittal
あん,"plan, proposal"
あんがい,unexpectedly
うなずく,nod
はんのう,"reaction, response"
とうひょう,"vote, ballot"
やくしょ,public office
もくひょう,"target, goal"
ひょうじゅん,"standard, norm"
たっせい,"attain, achieve"
めいかく,"clear, precise"
ほんねん,this year
こくれん,United Nations
れんきゅう,consecutive holidays
つれ,companion
しだい,as soon as
れんらく,"connection, communication"
ほうぼう,"everyone, all people"
まえもって,in advance
ふぼ,"father and mother, parents"
せつぞく,"connection, joining"
ぜんかい,last time
さらに,"furthermore, still more"
し,city
ちか,price of land
てつづき,"procedure, formalities"
ぞくぞく,"in rapid succession, one after another"
つづき,"continuation, sequel"
ながつづき,lasting for a long time
あいかわらず,"as usual, as before"
そうとう,"correspondence, suitability"
ぜんはん,first half
おもいきって,"boldly, decisively"
ぶちょう,"section chief, department head"
にっそ,Japanese-Soviet
きごう,"symbol, mark"
きにゅう,"entry, record"
せいねんがっぴ,date of birth
あんき,memorization
がっぴ,date
へる,"pass, pass through"
ひっしに,desperately
きおく,"memory, recollection"
ふたしか,"unreliable, uncertain"
さいてい,lowest
ろくおんテープ,tape
マスコミ,mass communication
とざん,"climbing, mountaineer"
とうこう,attending school
やまのぼり,mountain climbing
さだめる,"fix, determine"
しゃかいかがく,social sciences
きかん,"engine, agency"
いっさい,"not at all, not one bit"
かかり,person in charge
げんじょう,present condition
ますます,increasingly
じったい,"the actual situation, the realities"
たいど,"attitude, manner"
ひじょう,"emergency, calamity"
ふしぜん,"unnatural, artificial"
ぎょうせい,administration
かんしん,"concern, interest"
せいじか,politician
しゅたい,"agent, main constituent"
じんみん,"the people, populace"
たいせい,"system, structure"
むかんしん,"apathy, indifference"
むち,ignorance
がいこう,"diplomacy, foreign relations"
ふりつ,prefectural
しゅだん,"means, way"
しちょう,mayor
シーズン,season
じしゅ,"independence, autonomy"
しゅもく,"item, event"
ラグビー,rugby
にゅうじょう,"entrance, admission"
